SHEET,PARAMETERS,Symbol parameters description in expression view & customizer GUI
CentroidType,"Defines either 3x3 or 5x5 centroid type calculation. 3x3 or 5x5 
defines a sensor matrix size used at centroid calculation. 5x5 centroid (also 
known as Advanced Centroid) provides some benefits such as Two finger detection, 
Edge correction, and improved accuracy as well.",Widget Details tab
CrossCouplingPosTh,"Defines cross coupling threshold. It is subtracted from 
sensor signals at centroid position calculation to improve the accuracy.
The threshold should be equal to a sensor signal when your finger is near the 
sensor, but not touching the sensor. This can be determined by slowly dragging 
your finger across the panel and finding the inflection point of the difference 
counts at the base of the curve. The difference value at this point should be 
the Cross-coupling threshold. ",Widget Details tab
EdgeCorrectionEnable,"When enabled, a matrix of centroid calculation is updated 
with virtual sensors on the edges of a Touchpad. It improves accuracy of 
reported position on the edges. Two more parameters should be configured: 
Virtual sensor threshold and Penultimate threshold.",Widget Details tab
EdgeVirtualSensorTh,"Defines a virtual sensor signal. This value should be set 
to the value of any sensor when a middle-sized finger is placed directly over 
it. If this value is too high, a position is reported nearer the edge than ideal 
position. If this value is too low, a position is reported nearer the middle of 
touchpad.",Widget Details tab
EdgePenultimateTh,"Defines a threshold for determining arrival at edges. This 
value may have to be increased for small diamonds, so that the edge handling is 
initiated sooner. If this number is too high, there is jumping at the edge with 
a smaller finger. If this number is too low, there is jumping at the edge with a 
larger finger.",Widget Details tab
TwoFingerDetection,Enables detection of the second finger on CSD touchpad.,Widget Details tab
AccelerationCoeff,This parameter defines the value at which the position movement 
needs to be interpolated when the movement is classified as fast movement. The 
reported position displacement is multiplied by this parameter.,Widget Details tab
SpeedCoeff,This parameter defines the value at which the position movement needs 
to be interpolated when the movement is classified as slow movement. The reported 
position displacement is multiplied by this parameter.,Widget Details tab
DivisorValue,This parameter defines divisor value used to create fractional 
acceleration for fast and slow movements. The interpolated position coordinates 
are divided by value of this parameter.,Widget Details tab
SpeedThresholdX,"This parameter defines the threshold to distinguish fast and 
slow movement on X-axis. If the X-axis position displacement reported between 
two consecutive scans exceeds this threshold, then it is considered as fast 
movement otherwise as slow movement.",Widget Details tab
SpeedThresholdY,"This parameter defines the threshold to distinguish fast and 
slow movement on Y-axis. If the Y-axis position displacement reported between 
two consecutive scans exceeds this threshold, then is it considered as fast 
movement otherwise as slow movement.",Widget Details tab
IdacComp,Sets the Compensation IDAC value for the specific CSD sensor.,Widget Details tab
Idacs,Sets an IDAC value for each CSX sensor/node.,Widget Details tab
UseDedicatedPin,,Widget Details tab
SelectedPins,Selects a port pin for the sensor (CSD sensing) and electrode 
(CSX sensing). The available options are to use a dedicated pin for a sensor or 
reuse one or more pins from any other sensors in the component. Reusing the pins 
of any other sensors from any widgets helps to create a ganged sensor.,Widget Details tab
Idac,IDAC value of the sensor,Widget Details tab
SensorScanTime,Estimated scaling time of the sensor.,Tuner
Idac0,,Widget Details tab
Idac1,,Widget Details tab
Idac2,,Widget Details tab
F1_Click_XMaxPosDisplacement,This parameter defines the maximum X-axis 
displacement acceptable for valid one-finger click gestures. The click 
gesture is not reported if the X-axis displacement is greater than the 
parameter value. Available for a Touchpad widget.,
F1_Click_YMaxPosDisplacement,This parameter defines the maximum Y-axis 
displacement acceptable for valid one-finger click gestures. The click 
gesture is not reported if the Y-axis displacement is greater than the 
parameter value. Available for a Touchpad widget.,
F1_Click_MaxPosDisplacement,This parameter defines the maximum displacement 
acceptable for valid one-finger click gestures. The click gesture is not 
reported if the position displacement is greater than the parameter value. 
Available for a Slider widget.,
F1_Click_MaxRadius,"Defines the maximum displacement (center being position 
of the first touch) that the second click in a one-finger double click 
sequence can extend. If the second click occurs outside this displacement, 
the double click sequence is discarded. Instead a Click And Drag gesture 
may be triggered. Available for a Touchpad widget.",
F1_Click_MaxDisplacement,"Defines the maximum displacement (center being 
position of the first touch) that the second click in a one-finger double 
click sequence can extend. If the second click occurs outside this 
displacement, the double click sequence is discarded. Instead a Click And Drag 
gesture may be triggered. Available for a Slider widget.",
F1_Click_MinTouchInterval,"Defines the minimum duration between two sequential 
clicks before a double click operation is considered valid.
If the second click occurs within the specified by this parameter duration, no 
double click or click gesture is reported back to the application. Applications 
can use this parameter to filter out very quick double click motions.",
F1_Click_MaxTouchInterval,"Defines the maximum time allowed between two 
sequential clicks such that a double click gesture will be reported.
A double click gesture is a sequence of two single click gestures where 
the second single click gesture occurs after the first click within the 
time specified by this parameter.",
F1_Click_MinTouchDuration,"A duration of the one-finger click should remain 
within the minimum limit specified by the parameter for a one-finger click 
gesture to be valid.
If the second click occurs within the Minimum interval between touches, no 
double click or click gesture is reported back to the application. 
Applications can use this parameter to filter out very quick double click motions.",
F1_Click_MaxTouchDuration,"A duration of the one-finger click should remain 
within the maximum limits specified by the parameter for a one-finger click 
gesture to be valid.
If the finger is placed on a panel for longer than this value, no click event 
is sent. This parameter also sets the maximum time the first click of a 
one-finger double click can remain on the panel. If a user is attempting a 
double click and the first click touch (or second click touch) remains on the 
panel for longer than this parameter value, the second click event does not 
complete a double click (at a minimum it may register as a single click event).
",
F2_Click_MinTouchDuration,Defines the minimum duration two fingers need to be on 
a panel before a two-finger click event is registered. This aids in filtering 
very rapid two-finger clicks. This parameter should be set lower than the 
Two-finger Maximum touch duration parameter.,
F2_Click_MaxTouchDuration,Defines the maximum time two fingers can be placed on 
a panel before being disqualified as a two-finger click event.,
F1_Scroll_Debounce,"Sets the number of similar, sequential scroll gestures that 
should be performed before the scroll motion is considered valid. A touch has to 
move, at a minimum (Debounce + 1) times in the same direction to be considered 
as a scroll in that direction.",
F1_Scroll_XPosThreshold1,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 1) corresponds to exceeded 
threshold 1. Available for a Touchpad widget.,
F1_Scroll_YPosThreshold1,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 1) corresponds to exceeded 
threshold 1. Available for a Touchpad widget.,
F1_Scroll_PosThreshold1,Defines a minimum displacement needs to be detected 
on a panel between two consecutive scans for one-finger scroll to be valid. 
The reported scroll number (Scroll step 1) corresponds to exceeded threshold 1. 
Available for a Slider widget.,
F1_Scroll_ScrollStep1,Defines the number of scrolls to be reported when finger 
displacement between two consecutive scans exceeds the corresponding 
threshold 1 (X-axis position threshold 1 and Y-axis position threshold 1 for a 
Touchpad widget or Position threshold 1 for a Slider widget).,
F1_Scroll_XPosThreshold2,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 2) corresponds to exceeded 
threshold 2. Available for a Touchpad widget.,
F1_Scroll_YPosThreshold2,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 2) corresponds to exceeded 
threshold 2. Available for a Touchpad widget.,
F1_Scroll_PosThreshold2,Defines a minimum displacement needs to be detected 
on a panel between two consecutive scans for one-finger scroll to be valid. 
The reported scroll number (Scroll step 2) corresponds to exceeded threshold 2. 
Available for a Slider widget.,
F1_Scroll_ScrollStep2,Defines the number of scrolls to be reported when finger 
displacement between two consecutive scans exceeds the corresponding threshold 2 
(X-axis position threshold 2 and Y-axis position threshold 2 for a Touchpad 
widget or Position threshold 2 for a Slider widget).,
F1_Scroll_XPosThreshold3,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 3) corresponds to exceeded 
threshold 3. Available for a Touchpad widget.,
F1_Scroll_YPosThreshold3,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 3) corresponds to exceeded 
threshold 3. Available for a Touchpad widget.,
F1_Scroll_PosThreshold3,Defines a minimum displacement needs to be detected on a 
panel between two consecutive scans for one-finger scroll to be valid. 
The reported scroll number (Scroll step 3) corresponds to exceeded threshold 3. 
Available for a Slider widget.,
F1_Scroll_ScrollStep3,Defines the number of scrolls to be reported when finger 
displacement between two consecutive scans exceeds the corresponding threshold 3 
(X-axis position threshold 3 and Y-axis position threshold 3 for a Touchpad 
widget or Position threshold 3 for a Slider widget).,
F1_Scroll_XPosThreshold4,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 4) corresponds to exceeded 
threshold 4. Available for a Touchpad widget.,
F1_Scroll_YPosThreshold4,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for one-finger scroll to 
be valid. The reported scroll number (Scroll step 4) corresponds to exceeded 
threshold 4. Available for a Touchpad widget.,
F1_Scroll_PosThreshold4,Defines a minimum displacement needs to be detected 
on a panel between two consecutive scans for one-finger scroll to be valid. 
The reported scroll number (Scroll step 4) corresponds to exceeded threshold 4. 
Available for a Slider widget.,
F1_Scroll_ScrollStep4,Defines the number of scrolls to be reported when finger 
displacement between two consecutive scans exceeds the corresponding threshold 4 
(X-axis position threshold 4 and Y-axis position threshold 4 for a Touchpad 
widget or Position threshold 4 for a Slider widget).,
F1_ScrollInt_XPosThreshold,Defines the minimum displacement needs to be 
detected on X-axis of a panel for a one-finger scroll gesture followed 
by a lift off event to be considered as valid inertial scroll. This parameter 
should be set to avoid accidental scroll triggers when the fingers are removed 
from the panel after a scroll gesture. Available for a Touchpad widget.,
F1_ScrollInt_YPosThreshold,Defines the minimum displacement needs to be 
detected on Y-axis of a panel for a one-finger scroll gesture followed 
by a lift off event to be considered as valid inertial scroll. This parameter 
should be set to avoid accidental scroll triggers when the fingers are 
removed from the panel after a scroll gesture. Available for a Touchpad widget.,
F1_ScrollInt_PosThreshold,Defines the minimum displacement needs to be 
detected on a panel for a one-finger scroll gesture followed by a lift 
off event to be considered as valid inertial scroll. This parameter 
should be set to avoid accidental scroll triggers when the fingers are 
removed from the panel after a scroll gesture. Available for a Slider widget.,
F1_ScrollInt_CountLevel,"Selects inertial scroll decay rate. The available 
options are High and Low:
Low (default) - Uses 32-byte array for inertial scroll implementation, reports 
few inertial scrolls.
High - Uses 64-byte array for inertial scroll implementation and reports more 
inertial scrolls.",
F2_Scroll_Debounce,"Sets the number of similar, sequential scroll gestures
that should be performed before the scroll motion is considered valid. 
Touch have to move, at a minimum (Debounce + 1) times in the same direction 
to be considered as a scroll in that direction.",
F2_Scroll_XPosThreshold1,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 1) corresponds to exceeded 
threshold 1. Available for a Touchpad widget.,
F2_Scroll_YPosThreshold1,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 1) corresponds to exceeded 
threshold 1. Available for a Touchpad widget.,
F2_Scroll_PosThreshold1,Defines a minimum displacement needs to be detected 
on a panel between two consecutive scans for two-finger scroll to be valid. 
The reported scroll number (Scroll step 1) corresponds to exceeded threshold 1.
 Available for a Slider widget.,
F2_Scroll_ScrollStep1,Defines the number of scrolls to be reported when 
finger displacement between two consecutive scans exceeds the corresponding 
threshold 1 (X-axis position threshold 1 and Y-axis position threshold 1 for a 
Touchpad widget or Position threshold 1 for a Slider widget).,
F2_Scroll_XPosThreshold2,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 2) corresponds to exceeded 
threshold 2. Available for a Touchpad widget.,
F2_Scroll_YPosThreshold2,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 2) corresponds to exceeded 
threshold 2. Available for a Touchpad widget.,
F2_Scroll_PosThreshold2,Defines a minimum displacement needs to be detected on a 
panel between two consecutive scans for two-finger scroll to be valid. The 
reported scroll number (Scroll step 2) corresponds to exceeded threshold 2. 
Available for a Slider widget.,
F2_Scroll_ScrollStep2,Defines the number of scrolls to be reported when 
finger displacement between two consecutive scans exceeds the corresponding 
threshold 2 (X-axis position threshold 2 and Y-axis position threshold 2 
for a Touchpad widget or Position threshold 2 for a Slider widget).,
F2_Scroll_XPosThreshold3,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 3) corresponds to exceeded 
threshold 3. Available for a Touchpad widget.,
F2_Scroll_YPosThreshold3,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 3) corresponds to exceeded 
threshold 3. Available for a Touchpad widget.,
F2_Scroll_PosThreshold3,Defines a minimum displacement needs to be detected on 
a panel between two consecutive scans for two-finger scroll to be valid. The 
reported scroll number (Scroll step 3) corresponds to exceeded threshold 3. 
Available for a Slider widget.,
F2_Scroll_ScrollStep3,Defines the number of scrolls to be reported when finger 
displacement between two consecutive scans exceeds the corresponding 
threshold 3 (X-axis position threshold 3 and Y-axis position threshold 3 for a 
Touchpad widget or Position threshold 3 for a Slider widget).,
F2_Scroll_XPosThreshold4,Defines a minimum X-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 4) corresponds to exceeded 
threshold 4. Available for a Touchpad widget.,
F2_Scroll_YPosThreshold4,Defines a minimum Y-axis displacement needs to be 
detected on a panel between two consecutive scans for two-finger scroll to 
be valid. The reported scroll number (Scroll step 4) corresponds to exceeded 
threshold 4. Available for a Touchpad widget.,
F2_Scroll_PosThreshold4,Defines a minimum displacement needs to be detected on 
a panel between two consecutive scans for two-finger scroll to be valid. The 
reported scroll number (Scroll step 4) corresponds to exceeded threshold 4. 
Available for a Slider widget.,
F2_Scroll_ScrollStep4,Defines the number of scrolls to be reported when finger 
displacement between two consecutive scans exceeds the corresponding 
threshold 4 (X-axis position threshold 4 and Y-axis position threshold 4 for a 
Touchpad widget or Position threshold 4 for a Slider widget).,
F2_ScrollInt_XPosThreshold,Defines the minimum displacement needs to be 
detected on X-axis of a panel for a two-finger scroll gesture followed 
by a lift off event to be considered as valid inertial scroll. This parameter 
should be set to avoid accidental scroll triggers when the fingers are removed 
from the panel after a scroll gesture. Available for a Touchpad widget.,
F2_ScrollInt_YPosThreshold,Defines the minimum displacement needs to be detected 
on Y-axis of a panel for a two-finger scroll gesture followed by a lift off event 
to be considered as valid inertial scroll. This parameter should be set to avoid 
accidental scroll triggers when the fingers are removed from the panel after a 
scroll gesture. Available for a Touchpad widget.,
F2_ScrollInt_PosThreshold,Defines the minimum displacement needs to be detected 
on a panel for a two-finger scroll gesture followed by a lift off event to be 
considered as valid inertial scroll. This parameter should be set to avoid 
accidental scroll triggers when the fingers are removed from the panel after a 
scroll gesture. Available for a Slider widget.,
F2_ScrollInt_CountLevel,"Selects inertial scroll decay rate. The available 
options are High and Low:
Low (default) - Uses 32-byte array for inertial scroll implementation, 
reports few inertial scrolls.
High - Uses 64-byte array for inertial scroll implementation and reports 
more inertial scrolls.",
F1_Flick_XPosThreshold,Defines the minimum displacement needs to be detected 
on X-axis of a panel between two consecutive scans for one-finger flick to be 
valid. Available for a Touchpad widget.,
F1_Flick_YPosThreshold,Defines the minimum displacement needs to be detected 
on Y-axis of a panel between two consecutive scans for one-finger flick to be 
valid. Available for a Touchpad widget.,
F1_Flick_PosThreshold,Defines the minimum displacement needs to be detected 
on a panel between two consecutive scans for one-finger flick to be valid. 
Available for a Slider widget.,
F1_Flick_MaxSampleInterval,Defines the maximum time interval for which the 
Component searches for a flick gesture.,
F1_EdgeSwipe_PosThreshold,Defines the minimum displacement needs to be detected 
near the edge (after a touch) for a one-finger edge swipe to be valid.,
F1_EdgeSwipe_DetectionTime,The finger position displacement should exceed 
Position threshold within the time defined by this parameter for a one-finger 
edge swipe to be valid.,
F1_EdgeSwipe_TimeoutInterval,Defines the time interval for which all other 
gesture will be ignored after completion of a one-finger edge swipe gesture.,
F1_EdgeSwipe_TopAngleThreshold,"Defines the maximum top angle (in degrees) 
that the path of finger touch can subtend on the point of touch-down, near 
the edge. 1 degree means that the user can do gestures only on a single line.",
F1_EdgeSwipe_BottomAngleThreshold,"Defines the maximum bottom angle (in degrees)
that the path of finger touch can subtend on the point of touch-down, near the 
edge. 1 degree means that the user can do gestures only on a single line.",
F1_EdgeSwipe_DisamRegionWidth,Defines the edge area. A swipe must start within 
this region to be considered as valid one-finger edge swipe.,
F2_Zoom_XPosThreshold,This parameter defines the minimum displacement needs to 
be detected on X-axis of a panel between two consecutive scans for two-finger 
Zoom to be valid. Available for a Touchpad widget.,
F2_Zoom_YPosThreshold,This parameter defines the minimum displacement needs to 
be detected on Y-axis of a panel between two consecutive scans for two-finger 
Zoom to be valid. Available for a Touchpad widget.,
F2_Zoom_PosThreshold,This parameter defines the minimum displacement needs to be 
detected on a panel between two consecutive scans for two-finger Zoom to be 
valid. Available for a Slider widget.,
F2_Zoom_Debounce,This parameter defines number of sequential zoom gestures in 
particular direction (IN or OUT) that needs to be detected to report the zoom gesture.,
F2_Zoom_ScrollZoomDebounce,"If a scroll was detected and zoom is detected 
without a lift off event (i.e. without removing the fingers from the touchpad), 
first few zoom gestures specified by this parameter shall be ignored before 
reporting a valid zoom gesture.",
F1_Rotate_RotateDebounce,"The number of sequential pan gestures in a particular 
direction that have to be observed to report the rotate gesture. For example, if 
this parameter is set to 20 then the touch cannot continue in the same direction 
for 20 pan counts and still have a valid rotate gesture. After this threshold is 
reached, the reported gesture ceases to be a rotate. If you set this parameter 
to 0, then you will not have this debounce procedure at all. A rotate gesture 
will be considered valid and no pan gestures will be detected until a rotate 
condition will be broken.",
F1_Rotate_PosThreshold,,
,,
SHEET,GESTURES,Gesture descriptions
Click,"The group consists of all click-related gestures like touchdown, 
lift off, one/two-finger single/double click gestures, etc.",
OneFingerScroll,The group consists of one-finger scroll and inertial 
scroll gestures. The one-finger scroll gesture is a combination of a 
touchdown followed by a displacement in a specific direction. The one-finger 
inertial scroll is continuously reported for a specific duration after a lift 
off event is detected.,
TwoFingerScroll,The group consists of two-finger scroll and inertial 
scroll gestures. The two-finger scroll gesture is a combination of a touchdown 
followed by a displacement in a specific direction. The two-finger inertial 
scroll is continuously reported for a specific duration after a lift off event 
is detected.,
OneFingerFlick,"The flick gesture is a combination of a touchdown, followed 
by a high speed displacement and a lift off event.",
OneFingerEdgeSwipe,"The edge swipe gesture is a combination of a touchdown on 
an edge, followed by a displacement toward the center and a lift off event. ",
TwoFingerZoom,The two-finger zoom gesture is reported when two finger touches 
move towards each other (Zoom Out) or move away from each other (Zoom In).,
OneFingerRotate,The one-finger rotate gesture is reported when a circular 
displacement is detected.,
,,
SHEET,HELP,Customizer GUI Tooltip messages
LoadConfiguration,Opens (load) a previously saved configuration (XML) file for CapSense component.,Toolbar
SaveConfiguration,Saves the current component configuration into a (XML) file.,Toolbar
SaveRegMap,"The CapSense component firmware library uses the data structure (known as Register map)
to store the configurable parameters, various outputs and signals of the component.
The Export Register Map button creates an explanation for registers and bit fields in the register map
in PDF or XML file which can be used as reference for development.",Toolbar
SaveRegMapXml,Exports the current component register map to the XML format.,Toolbar
SaveRegMapPdf,Exports the current component register map to the PDF format.,Toolbar
WidgetMoveUp,Moves the selected widget up by one on the list.,Basic tab
WidgetMoveDown,Moves the selected widget down by one on the list.,Basic tab
WidgetDelete,Deletes the selected widget from the list.,Basic tab
WidgetTypeColumn,"Shows an icon to indicate the widget type.
Not configurable (i.e. widget type cannot be changed once selected initially).",Basic tab
WidgetNameColumn,"The editable field to enter a widget name.
The max of 16 alpha-numeric characters only, the first character should be a letter.
Widget names must be unique (case-insensitive).",Basic tab
SensingModeColumn,"The drop-down to select the sensing mode for each widget:
the CSD sensing method (Capacitive Sigma Delta) is Cypress patented method of 
performing self-capacitance measurements.
All widget types support the CSD sensing.
The CSX sensing method is Cypress patented method of performing mutual-capacitance measurements.
Only buttons, matrix buttons, and touchpad widgets support the CSX sensing.",Basic tab
SensingElementsColumn,"The sensing element refers to terminals of the component 
assigned to port pins to connect to physical sensors on the user interface panel.
The following element numbers are supported by the CSD sensing method:
Button supports 1 to 32 sensors within a widget.
Linear Slider supports 3 to 32 segments within a widget.
Radial Slider supports 3 to 32 segments within a widget.
Matrix Buttons support 2 to 16 rows and columns. The total intersections number 
(sensors) are equal to rows X columns, limited to maximum of 32.
Touchpad supports 3 to 16 rows and columns
Proximity supports 1 to 16 sensors within a widget.
The following element numbers are supported by the CSX sensing method:
Button - 1 to 32 Rx electrodes (for 1 to 32 sensors) and Tx is fixed to 1.
Matrix Buttons - 2 to 16 Tx and Rx. The total intersections number (node) is 
equal to Tx X Rx, limited to maximum of 32.
",Basic tab
FingerCpColumn,Finger capacitance is defined as capacitance introduced by a user 
touch on the sensors. This parameter is used to indicate how a sensitive CSD 
widget should be tuned by the SmartSense Auto-tuning algorithm. Sensitivity of 
CapSense sensor is inversely proportional to finger capacitance value. Smaller 
value of finger capacitance provides higher sensitivity for sensors.,Basic tab
CsdElectrodes,"Indicates the total number of electrodes (port pins) used by the 
CSD widgets, including Cmod, Csh and Shield electrodes.",Basic tab
CsxElectrodes,"Indicates the total number of electrodes (port pins) used by the 
CSX widgets, including the CintA and CintB capacitors.",Basic tab
PinsRequired,Indicates the total number of port pins required for the design. 
This does not include port pins used by other components in the project. The 
number of pins required should always be less than or equal to the number of pins 
available for the project to build it successfully.,Basic tab
PinsAvailable,Indicates the total number of port pins available for the 
selected device.,Basic tab
CsdModClockActualFreq,Displays the closest valid value of the modulator clock 
frequency based on the calculated modulator clock divider (HFCLK/MODCLK ratio).,CSD Settings tab
CsdSenseClockActualFreq,Displays the closest valid value of the sense clock 
frequency based on the calculated sense clock divider (HFCLK/SNSCLK ratio).,CSD Settings tab
CsxModClockActualFreq,Displays the closest valid value of the modulator clock 
frequency based on the calculated modulator clock divider (HFCLK/MODCLK ratio).,CSX Settings tab
CsxTxClockActualFreq,Displays the closest valid value of the Tx clock frequency 
based on the calculated Tx clock divider (HFCLK/TXCLK ratio).,CSX Settings tab
ScanSlotMoveUp,NA,Scan Order tab
ScanSlotMoveDown,NA,Scan Order tab
ScanSlotMoveLeft,NA,Scan Order tab
ScanSlotMoveRight,NA,Scan Order tab
TotalScanTime,The total scan time of all widgets / sensors.,Scan Order tab
,,
SHEET,REGFLASH,FLASH Data Structure register descriptions
WDGT_ARRAY,Array of flash widget objects,FLASH
ELTD_LIST_STRUCT,Structure with all Ganged Flash electrode objects,FLASH
WD_PTR2SNS_FLASH,"Points to the array of the FLASH Sensor Objects or FLASH IO Objects that belong to this widget.
Sensing block uses this pointer to access and configure IOs for the scanning.
Bit #2 in WD_STATIC_CONFIG field indicates the type of array: 
1 - Sensor Object; 
0 - IO Object.",FLASH
WD_PTR2WD_RAM,"Points to the Widget Object in RAM. Sensing block uses it to 
access scan parameters.
Processing uses it to access threshold and widget specific data.",FLASH
WD_PTR2SNS_RAM,"Points to the array of Sensor Objects in RAM.
The sensing and processing blocks use it to access the scan data.",FLASH
WD_PTR2FLTR_HISTORY,Points to the array of the Filter History Objects in RAM 
that belongs to this widget.,FLASH
WD_PTR2DEBOUNCE,"Points to the array of the debounce counters.
The size of the debounce counter is 8 bits.
These arrays are not part of the data structure.",FLASH
WD_STATIC_CONFIG,Miscellaneous configuration flags.,FLASH
SNS_FREQ,"The sense/Tx frequency selection: 0 - Common, 1 - Individual (per widget).",FLASH
DIPLEXING,Duplexing Enable/Disable for linear sliders.,FLASH
GANGED_SNS,The widget contains a sensor ganged to other sensors.,FLASH
SHARED_IO,Some pin from this widget is used by other sensors to make a ganged sensor.,FLASH
POS_IIR_FILTER,The centroid position IIR filter Enable/Disable.,FLASH
POS_MEDIAN_FILTER,The centroid position median filter Enable/Disable.,FLASH
POS_AVERAGE_FILTER,The centroid position average filter Enable/Disable.,FLASH
POS_JITTER_FILTER,The centroid position jitter filter Enable/Disable.,FLASH
MULTIPHASE_TX,The multiphase Tx scan Enable (CSX widgets only).,FLASH
AIIR_FILTER,The centroid position adaptive IIR filter Enable/Disable.,FLASH
BALLISTIC,Ballistic multiplier Enable/Disable.,FLASH
CENTROID_3X3,3x3 centroid Enable/Disable.,FLASH
CENTROID_5X5,5x5 centroid Enable/Disable.,FLASH
EDGE_CORRECTION,Edge correction Enable/Disable.,FLASH
TWO_FINGER_DETECTION,Two finger detection Enable/Disable.,FLASH
ONE_FINGER_GESTURES_CONFIG,The configuration of enabled one-finger gestures,Flash
ONE_FINGER_TOUCHDOWN,,Flash
ONE_FINGER_LIFT_OFF,,Flash
ONE_FINGER_SINGLE_CLICK,,Flash
ONE_FINGER_DOUBLE_CLICK,,Flash
ONE_FINGER_CLICK_DRAG,,Flash
ONE_FINGER_SCROLL,,Flash
ONE_FINGER_SCROLL_INERTIAL,,Flash
ONE_FINGER_FLICK,,Flash
ONE_FINGER_EDGE_SWIPE,,Flash
ONE_FINGER_ROTATE_2D,,Flash
TWO_FINGER_GESTURES_CONFIG,The configuration of enabled two-finger gestures,Flash
TWO_FINGER_TOUCHDOWN,,Flash
TWO_FINGER_LIFT_OFF,,Flash
TWO_FINGER_SINGLE_CLICK,,Flash
TWO_FINGER_DOUBLE_CLICK,,Flash
TWO_FINGER_CLICK_DRAG,,Flash
TWO_FINGER_SCROLL,,Flash
TWO_FINGER_SCROLL_INERTIAL,,Flash
TWO_FINGER_FLICK,,Flash
TWO_FINGER_EDGE_SWIPE,,Flash
TWO_FINGER_ROTATE_2D,,Flash
TWO_FINGER_ZOOM,,Flash
WD_TOTAL_NUM_SNS,"The total number of sensors. 
For CSD widgets: WD_NUM_ROWS + WD_NUM_COLS. 
For CSX widgets: WD_NUM_ROWS * WD_NUM_COLS.",FLASH
WD_TYPE,"Specifies one of the following widget types: 
WD_BUTTON_E,
WD_LINEAR_SLIDER_E,
WD_RADIAL_SLIDER_E,
WD_MATRIX_BUTTON_E, 
WD_TOUCHPAD_E, 
WD_PROXIMITY_E",FLASH
WD_CSD_BLOCK,"Specifies the CSD block to use on the capable devices.
Available only if CSD2x or CSX2x is enabled.",FLASH
WD_SLOT_INDEX,Slot index occupied by the first sensor in the widget,FLASH
WD_SENSE_METHOD,Specifies the widget sensing method that could be either 
WD_CSD_SENSE_METHOD or WD_CSX_SENSE_METHOD,FLASH
WD_NUM_COLS,"For CSD Button and Proximity Widgets, the number of sensors.
For CSD Slider Widget, the number of segments.
For CSD Touchpad and Matrix Button, the number of the column sensors.
For CSX Button, Touchpad and Matrix Button, the number of the Rx electrodes.",FLASH
WD_NUM_ROWS,"For CSD Touchpad and Matrix Buttons, the number of the row sensors.
For the CSX Button, the number of the Tx electrodes (constant 1u).
For CSX Touchpad and Matrix Button, the number of the Tx electrodes.",FLASH
WD_RAM_OBJECT_SIZE,The size of the Widget Object in RAM. Used to calculate CRC.,FLASH
WD_X_RESOLUTION,"Sliders: The Linear/Angular resolution.
Touchpad: The X-Axis resolution.",FLASH
WD_Y_RESOLUTION,Touchpad: The Y-Axis resolution.,FLASH
WD_X_CENT_MULT,"The pre-calculated X resolution centroid multiplier used for 
the X-axis position calculation.
Calculated as follows:
RADIAL: (WD_X_RESOLUTION * 256) / WD_NUM_COLS;
LINEAR and TOUCHPAD: (WD_X_RESOLUTION * 256) / (WD_NUM_COLS - CONFIG);
where CONFIG is 0 or 1 depends on CentroidMultiplerMethod parameter",FLASH
WD_Y_CENT_MULT,"The pre-calculated Y resolution centroid multiplier used for 
the Y-axis position calculation.
Calculated as follows:
(WD_Y_RESOLUTION * 256) / (WD_NUM_ROWS - CONFIG);
where CONFIG is 0 or 1 depends on CentroidMultiplerMethod parameter",FLASH
WD_TX_MULTIPHASE_SIGN,The pointer to the uint16 flash array with deconvolution 
coefficients.,FLASH
